abjuration's|abjuration
shriveled|shrivels
shriveling|shrivels
shush|shushed
shushes|shushed
shushing|shushed
silence's|silences
silencer|silences
silencers|silences
silencing|silences
silo's|silo
silos|silo
singe|singed
singeing|singed
singes|singed
siren's|siren
sling-stone|sling-stones
slipknot's|slipknot
slipknots|slipknot
slouch's|slouch
slouched|slouch
sloucher|slouch
slouchers|slouch
slouches|slouch
slouching|slouch
sludge's|sludge
slump|slumped
slump's|slumped
slumping|slumped
smear's|smear
smeared|smear
smearing|smear
smirk's|smirk
smirked|smirk
smirking|smirk
smirks|smirk
smokier|smoky
smokiest|smoky
smokiness|smoky
smother|smothered
smother's|smothered
smothering|smothered
smothers|smothered
smudge's|smudge
smudged|smudge
smudges|smudge
smudging|smudge
snare|snared
snare's|snared
snares|snared
snaring|snared
snarl|snarls
snarled|snarls
snicked|snick
snicking|snick
snicks|snick
snipe's|snipe
sniper's|sniper
snipes|snipe
socket's|socket
sockets|socket
sorcerer|sorcerers
sorcerer's|sorcerers
soul-chain|soul-chains
sound-snarer|sound-snarers
sparsely|sparse
sparseness|sparse
sparser|sparse
sparsest|sparse
spontaneous|spontaneously
springboard|springboards
springboard's|springboards
sputter|sputters
sputter's|sputters
sputtered|sputters
sputtering|sputters
squirm|squirming
squirm's|squirming
squirmed|squirming
squirms|squirming
stab|stabbed
stabilization's|stabilization
stabs|stabbed
staled|stale
staleness|stale
staler|stale
stales|stale
stalest|stale
staling|stale
standoff's|standoff
standoffs|standoff
static's|static
statics|static
steepening|steepened
stir's|stir
stitched-one|stitched-ones
storage's|storage
store|stored
storehouse's|storehouse
storehouses|storehouse
storing|stored
string's|string
stringed|string
stringer|string
stringers|string
stringing|string
strings|string
supposition's|supposition
suppositions|supposition
sureties|surety
surety's|surety
surgeon's|surgeon
surgeons|surgeon
surgeries|surgery
surgery's|surgery
surgically|surgical
sync's|sync
synced|sync
syncing|sync
tax-man|tax-men
tempt|tempted
tempter|tempted
tempters|tempted
temptingly|tempting
tempts|tempted
tendon|tendons
tendon's|tendons
thistle's|thistle
thistles|thistle
thunderclap's|thunderclap
thunderclaps|thunderclap
thunderstorm's|thunderstorm
thunderstorms|thunderstorm
thunk|thunks
timelier|timely
timeliest|timely
timeliness|timely
tonsure|tonsured
tonsure's|tonsured
tonsures|tonsured
tonsuring|tonsured
toxin|toxins
toxin's|toxins
trace's|trace
traced|trace
tracer|trace
tracers|trace
traces|trace
tracings|trace
track-rail|track-rails
track's|trackers
tracked|trackers
tracker|trackers
transport|transporting
transport's|transporting
transportable|transporting
transported|transporting
transporter|transporting
transporters|transporting
transports|transporting
tribute|tributes
trip's|trip
triply|trip
trips|trip
turd's|turd
turds|turd
turgidly|turgid
unblinkingly|unblinking
undertaking's|undertaking
unfurl|unfurled
unfurling|unfurled
unkindest|unkind
unlatched|unlatch
unlatches|unlatch
unlatching|unlatch
unsealed|unsealing
unseals|unsealing
unsheathe|unsheathed
unsheathes|unsheathed
unsheathing|unsheathed
unsling|unslung
unslinging|unslung
unslings|unslung
untangle|untangling
untangled|untangling
untangles|untangling
untied|untie
unties|untie
untimeliest|untimely
unwinding|unwind
unwinds|unwind
unwisely|unwise
unwiser|unwise
unwisest|unwise
unwound|unwind
uptake's|uptake
uptakes|uptake
urine's|urine
usurped|usurp
usurper|usurp
usurpers|usurp
usurping|usurp
usurps|usurp
verbalize|verbalizes
verbalized|verbalizes
verbalizing|verbalizes
vestries|vestry
vestry's|vestry
vigilante's|vigilante
vigilantes|vigilante
wager's|wager
wagered|wager
wagerer|wager
wagerers|wager
wagering|wager
watcher's|watcher
weir|weirs
weir's|weirs
weld's|weld
weldable|weld
welded|weld
welder|weld
welders|weld
welding|weld
welds|weld
whipping|whipped
whittle|whittling
whittled|whittling
whittler|whittling
whittlers|whittling
whittles|whittling
wince|winces
wince's|winces
winced|winces
wincing|winces
wither|withered
witherings|withered
withstanding|withstand
withstands|withstand
woe's|woe
woes|woe
wryly|wry
yew's|yew
yews|yew
