abysmally|abysmal
starvation's|starvation
stipulate|stipulated
stipulates|stipulated
stipulating|stipulated
stipulation|stipulated
stole's|stole
stoles|stole
strand|stranded
strand's|stranded
stranding|stranded
strands|stranded
strategical|strategically
sturgeon's|sturgeon
sturgeons|sturgeon
supremely|supreme
surrounds|surround
swim's|swim
swims|swim
toe|toes
toe's|toes
toed|toes
torment's|torment
tormented|torment
tormenting|torment
torments|torment
totem|totems
totem's|totems
toughness's|toughness
trance's|trance
trances|trance
uncleared|unclear
unclearer|unclear
unclearest|unclear
vengefully|vengeful
vice's|vice
vices|vice
volley|volleys
volley's|volleys
volleyed|volleys
volleying|volleys
watchtower's|watchtowers
whirlwind's|whirlwind
whirlwinds|whirlwind
worm's|worm
wormed|worm
worming|worm
