allergy|allergen,allergens,allergic,allergies
stems|stem,stemmed,stemming
step|stepped,stepping,steps
strengths|stronger,strongest,strongly
striking|strikingly
stronghold|strongholds
study|studied,studies
successive|succeed,succeeded,succeeding,succeeds,successively
suffering|sufferings
summon|summons
summoned|summons
summoners|summoner
summoning|summoner
supernatural|supernaturally
symptoms|symptom,symptomatic
tabletop|tabletops
taken|took
talents|talent
tasked|tasking
taste|tasted,tastes,tasting
tease|teased,teases,teasing
technology|technologic,technological,technologically,technologies
telepathic|telepathically
telepathy|telepath,telepathically,telepaths
tends|tend,tended,tending
territory|territories
thirst|thirsted,thirsting,thirsts,thirsty
thoughts|thought,thoughtful,thoughtless
thrown|threw,throwing
tinderbox|tinderboxes
tipsy|tipsier,tipsiest,tipsily
tobacco|tobaccoes,tobaccos
tragedy|tragedies,tragically
treating|treat
treatment|treat,treatments
trigger|triggered,triggering,triggers
uncharted|chart,charted,charting,charts
understanding|understand,understandings,understands,understood
underworld|underworlds
unfortunate|fortunate,fortunately,unfortunately
unifying|unified,unifies,unify
unknown|know,knowing,known,knows,unknowns
unwavering|unwaveringly,waver,wavered,wavering,wavers
valuables|valuable
vampire|vampiric
visit|visits
vowed|vow,vowing,vows
waterskin|waterskins
weaknesses|weaker,weakest,weakly,weakness
wears|wear,worn
western|westerns
winged|wing,wings
winter|winters,wintery,wintry
wise|wised,wisely,wiser,wises,wisest,wising
zombie|zombified,zombifies,zombify,zombifying
