academic's|academics
diminishes|diminished
diminishing|diminished
diminutive's|diminutive
diminutives|diminutive
dirtied|dirty
dirtier|dirty
dirties|dirty
dirtiest|dirty
dirtiness|dirty
dirtying|dirty
discipline's|disciplined
disciplines|disciplined
disciplining|disciplined
distinctively|distinctive
distinctiveness|distinctive
disturbingly|disturbing
diversification|diversified
diversifies|diversified
diversify|diversified
diversifying|diversified
divination's|divination
divine's|divined
divinely|divined
diviner's|diviner
diviners|divined
divines|divined
divinest|divined
divining|divined
dominates|dominate
droop|droops
droop's|droops
drooped|droops
drooping|droops
duality's|duality
education's|education
ego's|ego
egos|ego
eightieth|eighties
eighty|eighties
eighty's|eighties
emphasize|emphasizes
emphasized|emphasizes
emphasizing|emphasizes
enchanter's|enchanter
endlessly|endless
endlessness|endless
enlarged|enlarge
enlargement|enlarge
enlarger|enlarge
enlargers|enlarge
enlarges|enlarge
enlarging|enlarge
entertain|entertainers
entertained|entertainers
entertainer|entertainers
entertaining|entertainers
entertainment|entertainers
entertains|entertainers
enthuse|enthuses
enthused|enthuses
enthusing|enthuses
entitled|entitle
entitlement|entitle
entitles|entitle
entitling|entitle
entrance's|entranced
entrancement|entranced
entrances|entranced
entrancing|entranced
era's|era
eras|era
erroneously|erroneous
etch|etched
etcher|etched
etchers|etched
etches|etched
etching's|etching
etchings|etched
eternally|eternal
eternalness|eternal
excitedly|excited
expandable|expand
expanded|expand
expands|expand
expanse's|expanse
expanses|expanse
expansion|expanse
expansions|expanse
expansive|expanse
explicit|explicitly
explicitness|explicitly
exploit's|exploits
exploitable|exploits
exploited|exploits
exploiter|exploits
exploiters|exploits
exploiting|exploits
exploration's|exploration
exposure's|exposure
exposures|exposure
faint's|faintly
fainted|faintly
fainter|faintly
fainting|faintly
faintness|faintly
faints|faintly
favorite's|favorite
favorites|favorite
filament|filaments
filament's|filaments
fireball's|fireball
fireballs|fireball
fitting's|fitting
fittingly|fitting
fittings|fitting
flash|flashes
flash's|flashes
flasher|flashes
flashers|flashes
flashier|flashy
flashiest|flashy
flashiness|flashy
flashing|flashes
flirtation's|flirtation
flirtations|flirtation
forested|forests
foresting|forests
fragmentation's|fragmentation
fun's|fun
funnel|funneled
funnel's|funneled
funneling|funneled
funnels|funneled
funnier|funny
funnies|funny
funniest|funny
funniness|funny
funny's|funny
furniture's|furniture
gala's|gala
galas|gala
garden's|garden
gardened|garden
gardener|garden
gardeners|garden
gardening|garden
gardens|garden
generation's|generation
geographically|geographical
ghostlier|ghostly
ghostliest|ghostly
ghostliness|ghostly
gild|gilded
gild's|gilded
gilder|gilded
gilders|gilded
gilding|gilded
gilds|gilded
glassware's|glassware
glimpse's|glimpse
glimpsed|glimpse
glimpses|glimpse
glimpsing|glimpse
goodbye's|goodbye
goodbyes|goodbye
goodlier|goodly
goodliest|goodly
gossip's|gossip
gossiped|gossip
gossiper|gossip
gossipers|gossip
gossiping|gossip
gossips|gossip
graceful|gracefully
gracefulness|gracefully
graft's|graft
grafter|graft
grafters|graft
grafts|graft
grand's|grand
grander|grand
grandest|grand
grandly|grand
grandness|grand
grands|grand
guidance's|guidance
halo|haloed
halo's|haloed
haloing|haloed
halos|haloed
handedness|handed
happenstance's|happenstance
happenstances|happenstance
happier|happy
happiest|happy
happiness|happy
hardener|hardened
hardeners|hardened
hardening|hardened
harmony's|harmony
harshest|harsher
hawk|hawked
hawk's|hawked
hawker|hawked
hawkers|hawked
hawking|hawked
hawks|hawked
helpfully|helpful
heroism's|heroism
hex|hexes
hex's|hexes
hexed|hexes
hexing|hexes
homestead|homesteads
homestead's|homesteads
homesteaded|homesteads
homesteader|homesteads
homesteaders|homesteads
homesteading|homesteads
household's|household
householder|household
householders|household
households|household
hulk|hulking
hulk's|hulking
hulks|hulking
hull's|hull
hulled|hull
huller|hull
hullers|hull
hulling|hull
hulls|hull
hurricane's|hurricane
hurricanes|hurricane
husband's|husband
husbanded|husband
husbanding|husband
husbands|husband
illusionist's|illusionists
impair|impaired
impairing|impaired
impairment|impaired
impairs|impaired
impartially|impartial
impatience's|impatience
impatiences|impatience
implication's|implication
impress|impressed
impress's|impressed
impresses|impressed
impressing|impressed
impressive|impressed
inaccuracies|inaccuracy
incident's|incident
incidents|incident
incorporate|incorporating
incorporated|incorporating
incorporates|incorporating
incorporation|incorporating
incubation's|incubation
ineptly|inept
ineptness|inept
infect|infected
infecting|infected
infection's|infection
infections|infection
infects|infected
ingredient|ingredients
ingredient's|ingredients
inhabited|inhabit
inhabiting|inhabit
inside's|insides
insider|insides
insiders|insides
insistence's|insistence
intellectual's|intellectual
intellectually|intellectual
intellectuals|intellectual
interlope|interlopers
interloped|interlopers
interloper|interlopers
interlopes|interlopers
interloping|interlopers
intermediate's|intermediate
intermediately|intermediate
intermediates|intermediate
intermittent|intermittently
intervention's|intervention
interventions|intervention
invention|inventions
invention's|inventions
investigator|investigators
investigator's|investigators
island's|island
islander|island
islanders|island
itch's|itch
itched|itch
itches|itch
itching|itch
jewish's|jewish
jewishness|jewish
journal's|journals
july's|july
justification's|justification
kudos's|kudos
latin's|latin
latins|latin
laughter's|laughter
lay's|lay
layer|layers
layer's|layers
laying|lay
leeway's|leeway
librarian's|librarian
librarians|librarian
lightning's|lightning
lightninged|lightning
lightnings|lightning
likelihood's|likelihood
liquefied|liquefy
liquefies|liquefy
liquefying|liquefy
lithely|lithe
litheness|lithe
lither|lithe
lithest|lithe
loath|loathes
loathed|loathes
loather|loathes
loathers|loathes
loathing|loathes
loathings|loathes
loathsomely|loathsome
loathsomeness|loathsome
loosed|loose
looses|loose
loosest|loose
loosing|loose
louder|loudly
loudest|loudly
loudness|loudly
lute's|lute
lutes|lute
mage's|mages
magus's|magus
maliciously|malicious
maliciousness|malicious
management|managed
manager|managed
managers|managed
managing|managed
manifestation's|manifestation
manifestations|manifestation
marathon's|marathon
marathoner|marathon
marathoners|marathon
marathons|marathon
marries|marrying
marry|marrying
marshal|marshaling
marshal's|marshaling
marshaled|marshaling
marshals|marshaling
mass's|mass
massed|mass
masses|mass
massing|mass
masterpiece's|masterpiece
masterpieces|masterpiece
mayhem's|mayhem
maze|mazes
maze's|mazes
measure|measures
measured|measures
measuring|measures
meditatively|meditative
militant's|militant
militantly|militant
militants|militant
minorities|minority
minority's|minority
miraculous|miraculously
mire's|mire
mired|mire
mires|mire
miring|mire
misleadingly|misleading
misted|mist
mistier|misty
mistiest|misty
mistiness|misty
misting|mist
mists|mist
misty's|misty
misuse's|misuse
misused|misuse
misuses|misuse
misusing|misuse
mull|mulling
mulled|mulling
mulls|mulling
multiverse's|multiverse
multiverses|multiverse
naturalist's|naturalist
naturalists|naturalist
neutrality's|neutrality
new's|newest
newer|newest
newness|newest
nine's|nine
nines|nine
obsess|obsessed
obsesses|obsessed
obsessing|obsessed
obsessive|obsessed
occupier's|occupier
occupiers|occupier
october's|october
octobers|october
offensively|offensive
offensiveness|offensive
omission's|omission
omissions|omission
oohed|ooh
oohing|ooh
origin's|origins
ornateness|ornately
outbreak's|outbreak
outbreaks|outbreak
outmatch|outmatched
outmatches|outmatched
outmatching|outmatched
outsmart|outsmarted
outsmarts|outsmarted
ozone's|ozone
pacifism's|pacifism
paintbrush|paintbrushes
paintbrush's|paintbrushes
paladin's|paladins
perception's|perception
perceptions|perception
perforate|perforated
perforates|perforated
perforating|perforated
perforation|perforated
perforations|perforated
permission's|permission
permissions|permission
persona's|persona
personas|persona
pharmaceutical's|pharmaceuticals
philosophies|philosophy
philosophy's|philosophy
pitch's|pitch
pitched|pitch
pitcher|pitch
pitchers|pitch
pitches|pitch
pitching|pitch
placated|placate
placates|placate
placating|placate
placation|placate
ponied|pony
ponies|pony
pony's|pony
ponying|pony
posture's|posture
postured|posture
postures|posture
posturing|posture
posturings|posture
pour|pouring
poured|pouring
pourings|pouring
pours|pouring
primordially|primordial
priority's|priorities
privilege's|privileged
privileges|privileged
privileging|privileged
prize|prized
prize's|prized
prizes|prized
prizing|prized
probability|probabilities
probability's|probabilities
profession's|profession
professions|profession
provoke|provoked
provoker|provoked
provokers|provoked
provokes|provoked
provoking|provoked
psychic's|psychic
psychics|psychic
purity's|purity
purple's|purple
purpler|purple
purples|purple
purplest|purple
puzzle's|puzzle
puzzled|puzzle
puzzlement|puzzle
puzzler|puzzle
puzzlers|puzzle
puzzles|puzzle
puzzling|puzzle
quarter's|quarters
quartered|quarters
quartering|quarters
quarterly|quarters
rallied|rally
rallies|rally
rally's|rally
rallying|rally
rare|rarely
rared|rarely
rareness|rarely
rarer|rarely
rares|rarely
rarest|rarely
raring|rarely
rash's|rash
rasher|rash
rashers|rash
rashes|rash
rashest|rash
rashly|rash
rashness|rash
ration's|ration
rationale's|rationale
rationales|rationale
rationed|ration
rationing|ration
reality's|reality
reason's|reason
reasonableness|reasonable
reasoned|reason
reasoner|reason
reasoners|reason
reasons|reason
remainder's|remainder
remaindered|remainder
remaindering|remainder
remainders|remainder
reprimand's|reprimand
reprimanded|reprimand
reprimanding|reprimand
reprimands|reprimand
reputedly|reputed
reservoir's|reservoir
reservoirs|reservoir
resonantly|resonant
respectability's|respectability
retirement's|retirement
retirements|retirement
rhyme|rhymes
rhyme's|rhymes
rhymed|rhymes
rhymer|rhymes
rhymers|rhymes
ridiculousness|ridiculous
riff's|riff
riffed|riff
riffing|riff
riffs|riff
rockier|rocky
rockiest|rocky
rockiness|rocky
rocky's|rocky
rogues|rogue
root's|roots
rooter|roots
rooters|roots
rooting|roots
rotate|rotating
rotated|rotating
rotates|rotating
rotation|rotating
rotations|rotating
rue's|rue
rued|rue
rues|rue
ruing|rue
sable|sables
sable's|sables
saintlier|saintly
saintliest|saintly
saintliness|saintly
satisfaction's|satisfaction
satisfies|satisfied
satisfy|satisfied
satisfying|satisfied
savage's|savage
savaged|savage
savagely|savage
savageness|savage
savager|savage
savages|savage
savagest|savage
savaging|savage
scheme|schemes
scheme's|schemes
schemed|schemes
schemer|schemes
schemers|schemes
scheming|schemes
sculpture's|sculptures
sculptured|sculptures
sculpturing|sculptures
secretively|secretive
secretiveness|secretive
seeded|seed
seeding|seed
seeds|seed
sequential|sequentially
settle|settling
settles|settling
shakier|shaky
shakiest|shaky
shakiness|shaky
sheen's|sheen
shiftier|shifty
shiftiest|shifty
shiftiness|shifty
shoot|shoots
shoot's|shoots
shooter|shoots
shooters|shoots
shooting|shoots
shootings|shoots
short's|shorter
shorted|shorter
shortens|shorter
shortest|shorter
shorting|shorter
shortness|shorter
shorts|shorter
sibling|siblings
sibling's|siblings
singular's|singular
singularly|singular
singulars|singular
sized|sizes
sizing|sizes
sleight's|sleight
sleights|sleight
slowest|slowed
slowing|slowed
slowness|slowed
slows|slowed
smart's|smart
smarted|smart
smarten|smart
smartens|smart
smarter|smart
smarting|smart
smartly|smart
smartness|smart
smarts|smart
sovereign's|sovereigns
spasm|spasms
spasm's|spasms
specimen's|specimen
specimens|specimen
spectrum's|spectrum
split's|splits
splurge|splurging
splurge's|splurging
splurged|splurging
splurges|splurging
spritz's|spritz
spritzed|spritz
spritzer|spritz
spritzers|spritz
spritzes|spritz
spritzing|spritz
sprout's|sprout
sprouted|sprout
sprouting|sprout
sprouts|sprout
squatter's|squatter
squatters|squatter
stain|stained
stain's|stained
staining|stained
stains|stained
stair's|stair
stalk|stalks
stalk's|stalks
stalked|stalks
stalker|stalks
stalkers|stalks
stalking|stalks
stalkings|stalks
stealth's|stealth
stealthier|stealthy
stealthiest|stealthy
stealthiness|stealthy
stern's|stern
sterner|stern
sternest|stern
sternly|stern
sternness|stern
sterns|stern
stipend's|stipend
stipends|stipend
stranger's|stranger
stray|straying
stray's|straying
strayed|straying
strays|straying
stupid's|stupid
stupider|stupid
stupidest|stupid
stupidly|stupid
stupids|stupid
substance's|substance
substances|substance
suggestion's|suggestion
suggestions|suggestion
summit's|summit
summits|summit
surname's|surname
surnames|surname
survivor's|survivors
sustenance's|sustenance
tablet|tablets
tablet's|tablets
tackle's|tackle
tackled|tackle
tackler|tackle
tacklers|tackle
tackles|tackle
tackling|tackle
tactic|tactics
tactic's|tactics
tap's|tap
taps|tap
teamwork's|teamwork
technical|technically
technique|techniques
technique's|techniques
teen's|teen
teens|teen
tension's|tensions
terror's|terror
terrors|terror
thrall|thralls
thrall's|thralls
thralled|thralls
thralling|thralls
thwart's|thwart
thwarted|thwart
thwarting|thwart
thwarts|thwart
toil's|toil
toiled|toil
toiler|toil
toilers|toil
toiling|toil
toils|toil
tolerance's|tolerance
tome's|tome
totalities|totality
totality's|totality
tracts|tract
trademark's|trademark
trademarked|trademark
trademarking|trademark
trademarks|trademark
transmutable|transmute
transmuted|transmute
transmutes|transmute
transmuting|transmute
trek's|trek
treks|trek
trickery's|trickery
tubing's|tubing
twilight's|twilight
undoubted|undoubtedly
unison's|unison
unprecedentedly|unprecedented
unsafely|unsafe
unsafer|unsafe
unsafest|unsafe
upright's|upright
uprightly|upright
uprightness|upright
uprights|upright
utter|utterly
uttered|utterly
uttering|utterly
utters|utterly
vessel's|vessel
vessels|vessel
voice's|voices
voiced|voices
voicing|voices
war's|wars
ware|wares
ware's|wares
warmer's|warmer
weakened|weaken
weakener|weaken
weakeners|weaken
weakening|weaken
weave's|weave
weaved|weave
weaver|weave
weavers|weave
weaves|weave
weaving|weave
weekend's|weekend
weekended|weekend
weekender|weekend
weekenders|weekend
weekending|weekend
weekends|weekend
weep|weeping
weep's|weeping
weeper|weeping
weepers|weeping
weepings|weeping
weeps|weeping
whorl|whorls
whorl's|whorls
whorled|whorls
widened|widen
widener|widen
wideners|widen
widening|widen
widens|widen
wight's|wight
wights|wight
wisp|wisps
wisp's|wisps
witchcraft's|witchcraft
woodland|woodlands
woodland's|woodlands
workmanship's|workmanship
wraith's|wraith
yep's|yep
yeps|yep
