"English"	"OldOrcish"	"ProposedOrcish"
"albany"	"freq100-albany-7db4d4"	"dravin-grodhi-hrowkash"
"albert"	"freq100-albert-72d016"	"dokur-hekmogi-brakuk"
"albino"	"ap31-36-albino-f18356"	"hrowgai-exie-drav"
"album"	"freq100-album-ca7cad"	"grot-ecd"
"albums"	"freq100-albums-e5298a"	"hekruhur-brand-gashi"
"albuquerque"	"freq100-albuquerque-bbe470"	"gori-hrowkai-evazhun-burzuk"
"alchemical"	"ap16-20-alchemical-160e32"	"ash-banti-dakukash"
"alchemically"	"ap31-36-alchemically-3223a3"	"brakari-braki-grodhi-krub"
"alchemically-treated"	"ap31-36-alchemically-treated-4d64a9"	"crossbow-dragonuk-grotash-burzuk"
"alchemy"	"ap16-20-alchemy-924b68"	"evazhun-dargi-dwimmer"
"alcoholic"	"freq100-alcoholic-f088c4"	"hrowga-falsta-heku"
"alcove"	"ap16-20-alcove-3648e2"	"brakkin-dakururi-jorun"
"alcoves"	"ap16-20-alcoves-423d1a"	"burzi-dak-brukash"
"alec"	"freq100-alec-58f4ab"	"dakuruk-ka"
"alert"	"ap16-20-alert-df9050"	"hekin-flind"
"alerted"	"ap21-25-alerted-52e5a6"	"dakku-hrowkash-grodui"
"alerts"	"ap31-36-alerts-deb3e3"	"heki-grodh-ka"
"alexander"	"freq100-alexander-9f2a08"	"flat-bruk-bibnaki"
"alfred"	"freq100-alfred-7b2b54"	"dravik-brukash-draku"
"algae"	"ap16-20-algae-2e7a69"	"dravik-dravik-goru"
"alias"	"freq100-alias-1a0a6a"	"ashur-ata"
"alibi"	"freq100-alibi-206947"	"bantin-dravi"
"alice"	"freq100-alice-2bd806"	"bibnakin-hekur"
"alien"	"ap4-alien-a49"	"flitin-gashin"
"aliens"	"freq100-aliens-e2bbb7"	"hekmoguk-grotin-gurmoguk"
"align"	"ap16-20-align-adcbf6"	"gashin-hekfa"
"alike"	"freq100-alike-c0bd51"	"grak-grrt"
"alimony"	"freq100-alimony-bf5433"	"goth-dcf-dakur"
"alison"	"freq100-alison-ecd18c"	"hrog-hekmoguk-gashu"
"allah"	"freq100-allah-0c13b4"	"ak-bdc"
"allan"	"freq100-allan-5fd726"	"darguk-hekuk"
"allegations"	"freq100-allegations-931156"	"exarchuk-barrow-drav-gashuri"
"alleged"	"freq100-alleged-4b8ab7"	"colossal-fcb-gurmoguk"
"allegedly"	"freq100-allegedly-e82847"	"hekuk-brakur-deornoth"
"allegiance"	"freq100-allegiance-753cb6"	"dragonuk-crossbow-gurmogi"
"allen"	"freq100-allen-ec4786"	"hrog-dakuruk"
"allergic"	"freq100-allergic-2d2e0e"	"bit-brukur-bitu"
"allergies"	"freq100-allergies-6834a8"	"demetra-caves-grot"
"alley"	"freq100-alley-00e768"	"aae-hrowku"
"alliance"	"ap26-30-alliance-80db42"	"dravu-hrog-dcd"
"allied"	"freq100-allied-21bd01"	"bantuk-grrt-bbc"
"allies"	"ap16-20-allies-30d28f"	"bitu-hekruh-gentle"
"alligator"	"freq100-alligator-2f00c7"	"bitin-archon-hekur"
"allowing"	"ap16-20-allowing-05c97b"	"aele-hek-fce"
"allows"	"ap16-20-allows-77f6a1"	"drath-kaat-grod"
"alloy"	"ap31-36-alloy-65d9d6"	"dcf-helix"
"allure"	"ap3-alure-988"	"faf-fcb-gor"
"alluring"	"ap16-20-alluring-1b2237"	"ata-brakash-dakururi"
"alma"	"freq100-alma-cf43e0"	"grrtuk-dakukash"
"almighty"	"freq100-almighty-39c8b1"	"brakur-gurmoguk-gruul"
"aloha"	"freq100-aloha-0206a9"	"aba-ashdak"
"along"	"ap3-along-768"	"draku-fce"
"aloud"	"ap3-aloud-bd8"	"goru-fcd"
"alpha"	"ap26-30-alpha-8ed3f6"	"efekt-hekruhi"
"alphabet"	"freq100-alphabet-4dd4f3"	"crossbow-hekruhur-khali"
"already"	"shad-alreadi-ea5"	"helix-dcd-dargash"
"alright"	"freq100-alright-b8a9dc"	"gor-gord-iku"
"altar"	"freq100-altar-8e8707"	"efekt-faf"
"alter"	"freq100-alter-7c0ea3"	"draviki-banti"
"altered"	"freq100-altered-4aa009"	"chesire-gentle-bibnakin"
"alternate"	"freq100-alternate-3f251d"	"brukur-brakkin-brukur"
"alternative"	"freq100-alternative-277476"	"bibash-dug-faf-gorin"
"alternatively"	"ap31-36-alternatively-6c52e4"	"dff-dcbi-kaag-kal"
"altitude"	"freq100-altitude-d0a708"	"grukh-gor-bibnaki"
"altogether"	"ap26-30-altogether-87e56c"	"dwarf-hrowkash-efekt"
"aluminum"	"freq100-aluminum-faaa92"	"hrowkur-gori-giodon"
"always"	"dakur-mokh-ti-cb2"	"fcd-hrogar-efekt"
"amateur"	"freq100-amateur-8dd9ed"	"ecd-helix-keep"
"amateurs"	"freq100-amateurs-577001"	"dakuru-dravur-bbc"
"amazed"	"freq100-amazed-b3f3d9"	"gio-jorun-hrowkuri"
"amazing"	"ap5-amaz-922-in"	"aaei-dakukash-brukin"
"amazon"	"freq100-amazon-cbc627"	"grotash-gurmog-cee"
"ambassador"	"ap21-25-ambassador-cb74b0"	"grotash-dug-grum"
"ambassadors"	"ap16-20-ambassadors-181554"	"ashi-bib-draku-demetra"
"amber-lit"	"ap16-20-amber-lit-0f001d"	"arandia-archon-brukur"
"ambient"	"ap21-25-ambient-31d18c"	"brak-hekmoguk-gashu"
"ambition"	"freq100-ambition-5ab02c"	"darg-great-dak"
"ambitious"	"freq100-ambitious-e428ee"	"hekruhi-brakur-kelnagak"
"ambrose"	"freq100-ambrose-8d6a0f"	"ecd-dravik-brak"
"ambulance"	"freq100-ambulance-efdfcc"	"hroguk-hrowga-hrogarai"
"ambushed"	"freq100-ambushed-a420dc"	"flitin-brak-iku"
"amelia"	"freq100-amelia-f0d999"	"hrowga-helix-gori"
"amen"	"freq100-amen-9fdea7"	"flat-hroguk"
"amendment"	"freq100-amendment-8c0b60"	"ebb-bae-drow"
"america"	"freq100-america-b41e65"	"giodon-bitin-dwarf"
"american"	"freq100-american-e6deb1"	"heku-hroguk-gruul"
"americans"	"freq100-americans-4342cb"	"burzuk-dakuk-hrogar"
"amidst"	"ap3-amidst-7ce"	"draviki-hush-dravkui"
"amigo"	"freq100-amigo-a29bb3"	"flindi-gashi"
"amigos"	"freq100-amigos-e9d40c"	"hekur-hekruhur-biti"
"ammo"	"freq100-ammo-24d8a6"	"bdc-hekur"
"ammunition"	"freq100-ammunition-ff0f66"	"imla-bantin-dwarfi"
"amnesia"	"freq100-amnesia-827e33"	"drow-elf-dakur"
"among"	"ap2-among-766"	"draku-dravin"
"amongst"	"freq100-amongst-6da6a1"	"disaster-gog-grod"
"amount"	"ap4-amount-cf3"	"grrtuk-cee-hrowkuri"
"amounts"	"freq100-amounts-ac3bbd"	"gashi-cromm-hekin"
"amplified"	"ap21-25-amplified-6322d7"	"dcbi-brakash-hrowkuk"
"amplify"	"ap16-20-amplify-29e60c"	"bibnak-hrowkin-biti"
"amsterdam"	"freq100-amsterdam-26c98e"	"bib-hek-gashuri"
"amulet"	"ap21-25-amulet-68fa89"	"demetra-kar-gashash"
"amuse"	"freq100-amuse-995ebc"	"falsta-dokash"
"amused"	"freq100-amused-8648a0"	"dugi-dakururi-grimuk"
"amusement"	"shad-amusement-870"	"dwarf-ash-kal"
"amusing"	"freq100-amusing-b7cd3e"	"gog-heki-dargur"
"amy"	"freq100-amy-1906bc"	"ashuk-ashdak"
"ana"	"freq100-ana-24d4b9"	"bdc-hekruhur"
"anal"	"freq100-anal-7902e2"	"dravash-arden"
"analysis"	"ap31-36-analysis-f44e85"	"hrowka-darguk-forge"
"analyst"	"freq100-analyst-f44ceb"	"hrowka-dargin-karnt"
"analyze"	"freq100-analyze-09cbad"	"aelves-hekfa-grrtuk"
"analyzed"	"freq100-analyzed-8db725"	"ecd-grodui-cbdi"
"analyzing"	"ap16-20-analyzing-2b7dcc"	"bibnakin-efekt-hrogarai"
"anarchy"	"freq100-anarchy-505aea"	"daki-devis-karn"
"anatomical"	"ap31-36-anatomical-88cb75"	"dwarfi-hekfa-fa"
"anatomy"	"freq100-anatomy-dd54b4"	"hekfai-dcf-gur"
"anchor"	"ap16-20-anchor-79bfb0"	"dravash-grukh-grum"
"anchored"	"ap16-20-anchored-00dc69"	"aae-hrogar-eastdale"
"anchors"	"ap26-30-anchors-197129"	"ashuk-drow-colossal"
"anderson"	"freq100-anderson-c1d35c"	"great-hekruhi-dravku"
"andre"	"freq100-andre-bd01b0"	"goru-arcturus"
"andrew"	"freq100-andrew-d97988"	"gurmoguk-dwimmer-gash"
"andromeda"	"freq100-andromeda-09b6d2"	"aelves-grodu-hrowka"
"anesthesia"	"freq100-anesthesia-184098"	"ashi-dakkin-gord"
"aneurysm"	"freq100-aneurysm-a2804c"	"flindi-ender-dok"
"angel"	"freq100-angel-519ba9"	"dakkin-gashi"
"angeles"	"freq100-angeles-c2db5f"	"grimuk-hrog-dravur"
"angels"	"freq100-angels-c812b8"	"grodui-bbc-hek"
"angelus"	"freq100-angelus-cbd278"	"grotash-hekruh-falstauk"
"anger"	"ap16-20-anger-d4cc56"	"gruuli-hekfai"
"angle"	"ap26-30-angle-493878"	"cee-cee"
"angling"	"ap4-angl-e18-in"	"doku-colossal-hrowkuri"
"angry"	"shad-angri-0a9"	"agarici-forge"
"anguish"	"freq100-anguish-1b1817"	"ata-bibnak-brakur"
"angus"	"freq100-angus-a60946"	"flow-ashur"
"animate"	"ap16-20-animate-696af3"	"deornoth-dravik-khali"
"animation"	"ap16-20-animation-ec23ce"	"hrog-braki-hrowga"
"ankh"	"ap3-ankh-3c1"	"brukash-biti"
"ankle"	"freq100-ankle-9abfc3"	"falstauk-grukh"
"ankles"	"freq100-ankles-ffcd79"	"imla-heki-fcb"
"ann"	"freq100-ann-49915e"	"cee-flindi"
"anna"	"freq100-anna-55579b"	"dakur-demetra"
"annals"	"ap16-20-annals-44f254"	"cab-issenda-draku"
"anne"	"freq100-anne-90b8de"	"elfi-groduk"
"annie"	"freq100-annie-71be92"	"doku-grrtuk"
"annihilated"	"ap21-25-annihilated-aa54b3"	"gash-dcf-gruuluk-dakkin"
"anniversary"	"freq100-anniversary-40c12b"	"burdock-grum-crossbow-karn"
"announce"	"freq100-announce-f178ad"	"hrowgai-dwarfuk-grrtuk"
"announced"	"freq100-announced-3cf46a"	"brukash-ka-ebb"
"announcement"	"freq100-announcement-86118a"	"dugi-barrow-gashi-dok"
"announcer"	"freq100-announcer-41a449"	"burz-goblin-devis"
"announces"	"ap31-36-announces-93c19d"	"exarchuk-grum-goth"
"announcing"	"freq100-announcing-67209c"	"demand-brak-goruk"
"annoy"	"freq100-annoy-799524"	"dravash-flow"
"annoyed"	"freq100-annoyed-72e850"	"dokur-hrowkuk-dokur"
"annoying"	"freq100-annoying-92e93e"	"evazhun-hrowkur-dargur"
"annual"	"freq100-annual-ee5e28"	"hrogarai-dokash-chesire"
"anomalies"	"ap31-36-anomalies-7c56dd"	"draviki-demand-imla"
"anonymity"	"ap26-30-anonymity-e34a61"	"hekruh-dargash-drukh"
"anonymous"	"freq100-anonymous-2f183a"	"bitin-bibnak-dargi"
"another"	"ap2-another-ae4"	"gashu-dakur-gashi"
"anpu"	"ap21-25-anpu-a7f44f"	"forge-ka"
"answering"	"freq100-answering-1a2e91"	"ashur-brukur-gio"
"ant"	"freq100-ant-67a333"	"demand-giodon"
"ante"	"freq100-ante-d968e2"	"gurmoguk-dravash"
"antenna"	"freq100-antenna-47dd12"	"cbdi-hrogarai-braki"
"anthony"	"freq100-anthony-502913"	"daki-brand-brakin"
"anti"	"prep100lt-anti-065023"	"aeleuk-dbe"
"anti-venom"	"ap26-30-anti-venom-e34f47"	"hekruh-dargur-deornoth"
"anti-venoms"	"ap26-30-anti-venoms-cbf5c9"	"grotash-kaag-here"
"antibiotics"	"freq100-antibiotics-1304f2"	"arden-arhk-khalash-dravu"
"anticipate"	"freq100-anticipate-209665"	"bantin-forge-dwarf"
"anticipated"	"freq100-anticipated-7c44d3"	"draviki-dakur-hrowkai-dakash"
"anticipation"	"ap16-20-anticipation-24dfc1"	"bdc-hrowga-hekruh-flindi"
"antidote"	"freq100-antidote-7522d0"	"dragonuk-brakash-hrowgauk"
"antique"	"freq100-antique-e08ac7"	"hekmog-fcb-hekur"
"antiques"	"freq100-antiques-7febf5"	"dravkui-hush-khaluk"
"antitoxin"	"ap26-30-antitoxin-911781"	"ender-bibi-flit"
"antonio"	"freq100-antonio-4ee367"	"dak-hrowka-dwarfuk"
"ants"	"freq100-ants-b9ff6b"	"gorash-kelnagak"
"anubis"	"ap31-36-anubis-092136"	"aelves-brakari-dakuruk"
"anvil"	"ap16-20-anvil-50bc66"	"daki-grow"
"anxiety"	"ap16-20-anxiety-ab0231"	"gashash-arden-dakuk"
"anybody"	"ap26-30-anybody-bcb933"	"gorin-grot-dakur"
"anyhow"	"freq100-anyhow-c1dc91"	"great-hrogar-gio"
"anymore"	"ap16-20-anymore-b01f94"	"gashuri-bitu-goblini"
"anyone"	"ap5-anyone-b1f"	"arcturus-iku-gashur"
"anyplace"	"freq100-anyplace-c017cc"	"grak-bibi-hrogarai"
"anything"	"ap5-anyth-f0e-in"	"hrogarai-ashuk-exodore"
"anytime"	"shad-anytime-75e"	"dragonuk-hush-drukhi"
"anyway"	"ap21-25-anyway-97519f"	"fa-dca-great"
"anyways"	"freq100-anyways-adc93c"	"gashin-hek-dargu"
"anywhere"	"ap4-anywhere-dc0"	"hekfa-bantin-krubi"
"ap"	"ap21-25-ap-7978f5"	"dravash-dwarfuk"
"apache"	"freq100-apache-d7e04c"	"gurmog-hrowgai-dok"
"apaches"	"freq100-apaches-7b8067"	"dravik-ender-dwarfuk"
"apart"	"ap3-apart-1d4"	"bant-dakkin"
"apartment"	"freq100-apartment-6f347b"	"dokash-caves-fce"
"apartments"	"freq100-apartments-8f6f5d"	"elf-dravu-dravkui"
"ape"	"freq100-ape-eb3cad"	"here-crossbow"
"aperture"	"ap21-25-aperture-6f59cf"	"dokash-depth-hrowgai"
"apes"	"freq100-apes-d67464"	"gur-dug"
"apex"	"ap31-36-apex-846be5"	"drukhi-draviki"
"aphrodite"	"freq100-aphrodite-497f36"	"cee-elfi-dakuruk"
"apiece"	"freq100-apiece-f49152"	"hrowka-flindi-dornuk"
"apocalypse"	"freq100-apocalypse-295580"	"bibnak-dedi-flindi"
"apollo"	"freq100-apollo-8d3aa1"	"ecd-colossal-grod"
"apologies"	"ap3-apologi-e16i"	"falsta-hekfa-dakku"
"apologise"	"freq100-apologise-faebbd"	"hrowkur-hush-hekin"
"apologize"	"freq100-apologize-0d7925"	"akh-dwimmer-cbdi"
"apologized"	"freq100-apologized-cd860a"	"grow-fa-bibuk"
"apologizing"	"freq100-apologizing-c7ac75"	"grodu-goru-fa-brukur"
"apology"	"freq100-apology-e16120"	"hekmogi-dokur-burzi"
"appalling"	"freqrec-appalling-0053fa"	"aae-dcd-korvin"
"apparent"	"freq100-apparent-0794af"	"aelf-flitu-grukhur"
"apparently"	"shad-aparent-079-uk"	"hrowgauk-grod-dravik"
"appeal"	"freq100-appeal-da7e2d"	"hek-elf-dakash"
"appealing"	"freq100-appealing-c1659b"	"great-draku-goru"
"appeals"	"freq100-appeals-0a56b4"	"agarici-demand-gur"
"appear"	"ap21-25-appear-adf5a8"	"gashin-kaag-grot"
"appearance"	"ap31-36-appearance-6d1622"	"disaster-bibash-cab"
"appearances"	"freq100-appearances-481854"	"cec-bibnak-draku-cbdi"
"appeared"	"ap16-20-appeared-791591"	"dravash-bib-gio"
"appeasing"	"ap21-25-appeasing-ee4730"	"hrogarai-dakuruk-dakku"
"appendages"	"ap26-30-appendages-716624"	"doku-drath-cbd"
"appendix"	"freq100-appendix-f30c53"	"hrowk-bant-dragonuk"
"appetite"	"ap26-30-appetite-abbe51"	"gashash-grrtuk-dorn"
"applaud"	"freq100-applaud-439872"	"burzuk-gakh-exie"
"applause"	"ap3-aplause-e1d"	"hekmogi-here-hrowkuk"
"apple"	"ap21-25-apple-3a7bd3"	"brand-ebb"
"apple-eating"	"ap16-20-apple-eating-5da1cd"	"dargin-ghash-hroguk-hekfai"
"apples"	"freq100-apples-f5903f"	"hrowkai-flind-dbe"
"application"	"ap31-36-application-1fe289"	"banti-hrowk-gashash-dakuk"
"applications"	"freq100-applications-fd54e5"	"ik-dcf-kaat-hekash"
"applied"	"ap16-20-applied-b4267c"	"giodon-braku-fentrest"
"applies"	"ap21-25-applies-1754db"	"ashdak-dcf-ik"
"apply"	"ap3-ap-a17-uk"	"fa-goblini"
"applying"	"ap26-30-applying-61c1c8"	"dbe-grum-helix"
"appoint"	"freq100-appoint-22a44d"	"barrow-goblin-dokash"
"appointed"	"freq100-appointed-e48d3d"	"hekruhi-fentrest-darguk"
"appointment"	"freq100-appointment-fd37f8"	"ik-cec-kobold-gabh"
"appointments"	"freq100-appointments-ae6e41"	"gashu-dravkui-dcbi-ghash"
"appraisal"	"ap21-25-appraisal-eefaf5"	"hrogarai-kar-khaluk"
"appraised"	"ap31-36-appraised-33d1d9"	"brakash-hekmoguk-hrowkuri"
